ITEM CODE,SALE PRICE,,,,,,,,,,,,,,,,,,,,
00346651,7538,,,,,,,,,,,,,,,,,,,,
00346665,5316,,,,,,,,,,,,,,,,,,,,
00346692,9374,,,,,,,,,,,,,,,,,,,,
00292968,2450,,,,,,,,,,,,,,,,,,,,
00293011,2512,,,,,,,,,,,,,,,,,,,,
00346735,14900,,,,,,,,,,,,,,,,,,,,
00346884,3339,,,,,,,,,,,,,,,,,,,,
00346938,2080,,,,,,,,,,,,,,,,,,,,
00346948,2226,,,,,,,,,,,,,,,,,,,,
00346949,2657,,,,,,,,,,,,,,,,,,,,
00293099,1867,,,,,,,,,,,,,,,,,,,,
00293191,2124,,,,,,,,,,,,,,,,,,,,
00293328,2578,,,,,,,,,,,,,,,,,,,,
00293331,2661,,,,,,,,,,,,,,,,,,,,
00293351,1506,,,,,,,,,,,,,,,,,,,,
00377077,866,,,,,,,,,,,,,,,,,,,,
00377079,1176,,,,,,,,,,,,,,,,,,,,
00347113,10500,,,,,,,,,,,,,,,,,,,,
00347130,3437,,,,,,,,,,,,,,,,,,,,
00347142,9442,,,,,,,,,,,,,,,,,,,,
00347148,6059,,,,,,,,,,,,,,,,,,,,
00347189,3888,,,,,,,,,,,,,,,,,,,,
00347219,4379,,,,,,,,,,,,,,,,,,,,
00294403,1521,,,,,,,,,,,,,,,,,,,,
00294425,8000,,,,,,,,,,,,,,,,,,,,
00347713,1849,,,,,,,,,,,,,,,,,,,,
00294592,7700,,,,,,,,,,,,,,,,,,,,
00294596,9797,,,,,,,,,,,,,,,,,,,,
00347914,1428,,,,,,,,,,,,,,,,,,,,
00347943,2124,,,,,,,,,,,,,,,,,,,,
00347960,10556,,,,,,,,,,,,,,,,,,,,
00348054,9162,,,,,,,,,,,,,,,,,,,,
00295174,3930,,,,,,,,,,,,,,,,,,,,
00295200,28200,,,,,,,,,,,,,,,,,,,,
00295615,27885,,,,,,,,,,,,,,,,,,,,
00349033,3202,,,,,,,,,,,,,,,,,,,,
00349084,4792,,,,,,,,,,,,,,,,,,,,
00349092,2582,,,,,,,,,,,,,,,,,,,,
00349135,10955,,,,,,,,,,,,,,,,,,,,
00349162,2312,,,,,,,,,,,,,,,,,,,,
00349212,2138,,,,,,,,,,,,,,,,,,,,
00349217,2225,,,,,,,,,,,,,,,,,,,,
00295953,4682,,,,,,,,,,,,,,,,,,,,
00296045,38293,,,,,,,,,,,,,,,,,,,,
00296048,21900,,,,,,,,,,,,,,,,,,,,
00296091,2193,,,,,,,,,,,,,,,,,,,,
00296149,1616,,,,,,,,,,,,,,,,,,,,
00297319,12141,,,,,,,,,,,,,,,,,,,,
00296696,1444,,,,,,,,,,,,,,,,,,,,
00296935,2983,,,,,,,,,,,,,,,,,,,,
00296998,4263,,,,,,,,,,,,,,,,,,,,
00297006,2204,,,,,,,,,,,,,,,,,,,,
00297011,2800,,,,,,,,,,,,,,,,,,,,
00297040,7900,,,,,,,,,,,,,,,,,,,,
00297050,4900,,,,,,,,,,,,,,,,,,,,
